user_id,account_id,email,role,is_requester,is_internal,is_test,created_at,slack_user_id,looker_user_id,notion_user_id,drive_owner_id
user_000001,acct_0010,user-000001@customer-010.example.com,requester,true,false,false,2025-01-01T00:00:00Z,U000001,looker_000001,notion_000001,drive_000001
user_000002,acct_0011,user-000002@customer-011.example.com,approver,true,false,false,2025-02-02T00:00:00Z,U000002,looker_000002,notion_000002,drive_000002
user_000003,acct_0012,user-000003@customer-012.example.com,admin,true,false,false,2025-03-03T00:00:00Z,U000003,looker_000003,notion_000003,drive_000003
user_000004,acct_0013,user-000004@customer-013.example.com,finance,true,false,false,2025-04-04T00:00:00Z,U000004,looker_000004,notion_000004,drive_000004
user_000005,acct_0014,user-000005@customer-014.example.com,requester,true,false,false,2025-05-05T00:00:00Z,U000005,looker_000005,notion_000005,drive_000005
user_000006,acct_0015,user-000006@customer-015.example.com,approver,true,false,false,2025-06-06T00:00:00Z,U000006,looker_000006,notion_000006,drive_000006
user_000007,acct_0016,user-000007@customer-016.example.com,admin,true,false,false,2025-07-07T00:00:00Z,U000007,looker_000007,notion_000007,drive_000007
user_000008,acct_0017,user-000008@customer-017.example.com,finance,true,false,false,2025-08-08T00:00:00Z,U000008,looker_000008,notion_000008,drive_000008
user_000009,acct_0018,user-000009@customer-018.example.com,requester,true,false,false,2025-09-09T00:00:00Z,U000009,looker_000009,notion_000009,drive_000009
user_000010,acct_0019,user-000010@customer-019.example.com,approver,true,false,false,2025-10-10T00:00:00Z,U000010,looker_000010,notion_000010,drive_000010
user_000011,acct_0020,user-000011@customer-020.example.com,admin,true,false,false,2025-11-11T00:00:00Z,U000011,looker_000011,notion_000011,drive_000011
user_000012,acct_0021,user-000012@customer-021.example.com,finance,true,false,false,2025-12-12T00:00:00Z,U000012,looker_000012,notion_000012,drive_000012
user_000013,acct_0022,user-000013@customer-022.example.com,requester,true,false,false,2025-01-13T00:00:00Z,U000013,looker_000013,notion_000013,drive_000013
user_000014,acct_0023,user-000014@customer-023.example.com,approver,true,false,false,2025-02-14T00:00:00Z,U000014,looker_000014,notion_000014,drive_000014
